FIPS_final,Name_final,group,superclus2,sample,count,unemployed,lastworked_pastyr,male,age25,agemed,age75,a2534,a3544,a4554,a5564,whiteNH,blackNH,latino,asianNH,otherNH,insch,lths,hs,sc,aa,baplus,dis,fb,lep,married,children,nospouse_kids,snap,fincpadj
53061c,"Snohomish County, WA",4,5,321,13037.93577705003,.37574837,.34275037,.36038986,32,39,45,.34846246,.38525337,.26459372,.0016904487,.72236013,.041788053,.068321876,.1225825,.044947457,.095541276,0,0,.7828384,.21716158,0,.15112314,.19364117,.099855013,.50560349,.38101581,.15494025,.36634412,50322.58479907009
53061c,"Snohomish County, WA",5,7,189,6916.609880561885,.44406113,.39393491,.36640337,31,40,47,.37373304,.27461246,.3516545,0,.6363138,.01347658,.070063122,.24636602,.033780482,.032266729,0,0,0,0,1,.058422469,.36853671,.13214053,.62211317,.33596367,.070154876,.1606656,77740.89218929525
53061c,"Snohomish County, WA",6,6,128,3774.611004669812,.20988519,.31306997,.34902605,56,60,61,0,.0051203556,.10492339,.88995624,.76108485,.060414329,.019569091,.14998512,.0089466004,.011793948,0,0,0,0,1,.078152299,.27008903,.19220763,.7915557,.030440534,.0062881564,.064585,96360.21534146645
55079a,"Milwaukee, WI",ALL,,846,44550.81916798982,.39043069,.30081668,.45685431,32,42,51,.31851885,.25119463,.24789041,.1823961,.25642347,.49002427,.19547793,.027794637,.030279703,.017219029,.25927982,.39047042,.20799088,.07620921,.066049665,.18997215,.15691489,.13048798,.31654689,.29282394,.15857336,.52954108,24331.88963327292
55079a,"Milwaukee, WI",1,1,430,24142.10059995011,.39954597,.27636063,.48203114,31,38,46,.38169783,.32260481,.29569736,0,.18048924,.51481652,.25620613,.032904837,.015583279,0,.4127548,.58724523,0,0,0,.19542024,.23076689,.18707892,.31147042,.35886788,.19136585,.61078942,21527.28215075314
55079a,"Milwaukee, WI",2,2,112,4804.804589769635,.2151348,.25978076,.55880439,57,58,60,0,0,0,1,.38912535,.41391039,.14119017,.022682983,.033091128,0,.33016136,.66983861,0,0,0,.31090355,.098823778,.13993542,.35542816,.03259911,.0051337504,.4901219,32295.02366082509
55079a,"Milwaukee, WI",3,5,157,8338.74773735541,.41666308,.2700797,.37061703,28,32,40,.5966469,.19488811,.20846497,0,.20576935,.5301404,.18509126,.022501195,.056497805,.067417793,0,0,.75363922,.24636076,0,.11801036,.08803384,.070777409,.26919577,.41524667,.23341604,.53484857,28035.392
55079a,"Milwaukee, WI",4,4,93,4322.599587158053,.49644142,.59867042,.44820714,47,56,58,0,.22948526,.19433726,.57617748,.41543877,.50154018,.042167153,.021269558,.019584313,.047411725,0,0,.68980646,.31019357,0,.2182449,.021269558,0,.42234275,.1000644,.069844216,.36512807,48060.672
55079a,"Milwaukee, WI",5,6,54,2942.566653756656,.37181211,.21803024,.34090707,44,49,55,0,.26693466,.45082644,.2822389,.5726909,.28030196,.040527619,.018800952,.087678559,0,0,0,0,0,1,.11020486,.040314641,.011660181,.27348116,.11211773,.058325596,.15379116,30793.47028277279
6001c,"Alameda County, CA",ALL,,3608,124455.9709489409,.31830114,.25679854,.35648805,33,45,56,.27247003,.22198132,.22181244,.28373623,.25971645,.13599055,.24897912,.31374475,.041569151,.018267259,.21617012,.24286513,.18971875,.066169612,.28507641,.12524787,.48575801,.34156114,.55933785,.27573973,.086472757,.21596178,55710.32896
6001c,"Alameda County, CA",1,5,668,24247.59483006271,.48975003,.37603557,.42099023,31,38,49,.38504523,.29128972,.29165706,.032008015,.28239343,.23006193,.20545539,.2181492,.063940026,.067245662,0,0,.74903536,.25096464,0,.10430256,.27937329,.17916082,.39893258,.3538444,.16668746,.26193461,48360.89267360055
6001c,"Alameda County, CA",2,1,944,36063.4890080706,.24538459,.079351731,.30330646,31,38,47,.39404631,.30272603,.30322769,0,.1641864,.14523651,.4704558,.1824507,.037670605,.0063203648,.44844186,.55155814,0,0,0,.12865262,.54737818,.47234845,.52027321,.41375235,.12669083,.34004349,36346.39115343674
6001c,"Alameda County, CA",3,1,196,6901.998011801056,.54528356,.99539959,.53496873,41,46,54,.055880859,.38746339,.31496423,.2416915,.15216875,.17143159,.35311639,.31253007,.010753168,.0069315839,.46655306,.53344697,0,0,0,.12684491,.58228886,.52120435,.55202115,.2835131,.093114711,.24398172,54519.58673015511
6001c,"Alameda County, CA",4,2,395,14164.19000630354,.098203309,.044676494,.34145063,57,59,62,0,0,0,1,.1924548,.067809217,.22949034,.47896087,.031284761,0,.53029048,.46970955,0,0,0,.23160428,.67104822,.5884878,.62851369,.039443713,.013621593,.21418139,62736.65083933773
6001c,"Alameda County, CA",5,4,260,7599.239441568243,.18972108,.12605967,.33279499,57,59,61,0,0,0,1,.38555804,.18993339,.15165444,.25483859,.018015552,.0027177867,0,0,.71708828,.28291172,0,.22546139,.33178988,.19540483,.6426369,.030349387,.015480978,.16607469,80101.12
6001c,"Alameda County, CA",6,7,274,9977.725489041137,.40499771,.39230701,.26968747,27,29,32,1,0,0,0,.27070031,.051281244,.064491548,.54245514,.071071766,.02066814,0,0,0,0,1,.063492991,.53357178,.23168346,.53657091,.16230638,.021170804,.065128043,84808.24602468572
6001c,"Alameda County, CA",7,6,871,25501.73416209402,.32360879,.29821932,.37143338,44,53,59,0,.2734009,.29113981,.43545929,.39791843,.078816146,.060982976,.42694277,.03533968,.0055005504,0,0,0,0,1,.075142927,.49298581,.21179596,.71474218,.25294954,.038698189,.064064488,107936.2592
6013c,"Contra Costa County, CA",ALL,,2151,85495.97015108846,.32307431,.2742106,.36974031,34,46,55,.25713691,.20651536,.27216846,.26417929,.40594861,.10309709,.29376733,.15042199,.046764977,.017316209,.22335343,.24334291,.21929024,.060400657,.25361276,.1453207,.39072037,.27018437,.54578596,.30135173,.08781556,.18756458,55868.42272457363
6013c,"Contra Costa County, CA",1,3,244,11257.92365514989,.32277414,.25126377,.41514444,28,30,32,1,0,0,0,.18819037,.13111256,.53193837,.099082023,.049676679,.01428649,.45333636,.54666364,0,0,0,.12545319,.46129486,.36777624,.4091258,.43235961,.10717671,.35076678,40384.87905937415
