FIPS_final,Name_final,stpuma,cbsa,metro_name,pct_supercluster1,pct_supercluster2,pct_supercluster3,pct_supercluster4,pct_supercluster5,pct_supercluster6,pct_supercluster7,pct_cluster1,pct_cluster2,pct_cluster3,pct_cluster4,pct_cluster5,pct_cluster6,pct_cluster7,pct_cluster8,pct_cluster9
12057c,"Hillsborough County, FL",1205705,45300,"Tampa-St. Petersburg-Clearwater, FL",.084532373,,.093073592,.090620033,.11555555,.13590264,.17142858,.084532373,.093073592,.090620033,.13590264,.11555555,.17142858,,,
12057c,"Hillsborough County, FL",1205706,45300,"Tampa-St. Petersburg-Clearwater, FL",.14118706,,.14502165,.10651828,.11111111,.060851928,.03809524,.14118706,.14502165,.10651828,.060851928,.11111111,.03809524,,,
12057c,"Hillsborough County, FL",1205707,45300,"Tampa-St. Petersburg-Clearwater, FL",.15107913,,.14718615,.17170112,.16,.12373225,.20952381,.15107913,.14718615,.17170112,.12373225,.16,.20952381,,,
12057c,"Hillsborough County, FL",1205708,45300,"Tampa-St. Petersburg-Clearwater, FL",.15197842,,.11038961,.17488076,.11555555,.14807302,.085714288,.15197842,.11038961,.17488076,.14807302,.11555555,.085714288,,,
12071c,"Lee County, FL",1207101,15980,"Cape Coral-Fort Myers, FL",.13471502,,.048076924,.1875,.15463917,.28248587,.22077923,.13471502,.048076924,.1875,.15463917,.22077923,.28248587,,,
12071c,"Lee County, FL",1207102,15980,"Cape Coral-Fort Myers, FL",.24525043,,.14423077,.20108695,.2371134,.18644068,.22077923,.24525043,.14423077,.20108695,.2371134,.22077923,.18644068,,,
12071c,"Lee County, FL",1207103,15980,"Cape Coral-Fort Myers, FL",.31606218,,.48557693,.23641305,.37113401,.15819208,.2012987,.31606218,.48557693,.23641305,.37113401,.2012987,.15819208,,,
12071c,"Lee County, FL",1207104,15980,"Cape Coral-Fort Myers, FL",.19516407,,.24038461,.16576087,.18556701,.11299435,.12987013,.19516407,.24038461,.16576087,.18556701,.12987013,.11299435,,,
12071c,"Lee County, FL",1207105,15980,"Cape Coral-Fort Myers, FL",.10880829,,.081730768,.20923913,.051546391,.25988701,.22727273,.10880829,.081730768,.20923913,.051546391,.22727273,.25988701,,,
12086c,"Miami-Dade County, FL",1208601,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.03983308,,.038235296,.04599816,.054973822,.034994699,.029629629,.04599816,.034994699,.042351767,.031796504,.054973822,.029629629,.038235296,,
12086c,"Miami-Dade County, FL",1208602,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.047040973,,.045588236,.041398343,.083769634,.023329798,.022222223,.041398343,.023329798,.041853514,.063593008,.083769634,.022222223,.045588236,,
12086c,"Miami-Dade County, FL",1208603,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.033004552,,.036764707,.042318307,.041884817,.043478262,.033333335,.042318307,.043478262,.035376184,.025437202,.041884817,.033333335,.036764707,,
12086c,"Miami-Dade County, FL",1208604,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.01858877,,.013235294,.046918124,.015706806,.06892895,.048148148,.046918124,.06892895,.021923268,.007949126,.015706806,.048148148,.013235294,,
12086c,"Miami-Dade County, FL",1208605,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.055386949,,.072058827,.039558418,.054973822,.027571579,.037037037,.039558418,.027571579,.053313404,.06200318,.054973822,.037037037,.072058827,,
12086c,"Miami-Dade County, FL",1208606,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.05273141,,.091176473,.036798529,.036649216,.014846236,.0037037036,.036798529,.014846236,.055306427,.044515103,.036649216,.0037037036,.091176473,,
12086c,"Miami-Dade County, FL",1208607,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.05842185,,.044117648,.045078196,.060209423,.029692471,.014814815,.045078196,.029692471,.052316889,.07790143,.060209423,.014814815,.044117648,,
12086c,"Miami-Dade County, FL",1208608,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.045523521,,.035294119,.046918124,.031413611,.078472957,.11111111,.046918124,.078472957,.043348283,.052464228,.031413611,.11111111,.035294119,,
12086c,"Miami-Dade County, FL",1208609,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.071699545,,.054411765,.032198712,.020942409,.022269353,.033333335,.032198712,.022269353,.071748883,.071542129,.020942409,.033333335,.054411765,,
12086c,"Miami-Dade County, FL",1208610,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.055007588,,.060294118,.039558418,.060209423,.033934254,.033333335,.039558418,.033934254,.053313404,.060413353,.060209423,.033333335,.060294118,,
12086c,"Miami-Dade County, FL",1208611,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.062215477,,.079411767,.039558418,.081151836,.028632026,.04074074,.039558418,.028632026,.062780268,.060413353,.081151836,.04074074,.079411767,,
12086c,"Miami-Dade County, FL",1208612,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.029969651,,.029411765,.04599816,.028795812,.091198303,.09259259,.04599816,.091198303,.032386646,.022257552,.028795812,.09259259,.029411765,,
12086c,"Miami-Dade County, FL",1208613,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.056525037,,.079411767,.034038637,.036649216,.02545069,.05185185,.034038637,.02545069,.052316889,.069952302,.036649216,.05185185,.079411767,,
12086c,"Miami-Dade County, FL",1208614,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.022003034,,.013235294,.034958601,.034031413,.074231178,.085185185,.034958601,.074231178,.021425012,.023847377,.034031413,.085185185,.013235294,,
12086c,"Miami-Dade County, FL",1208615,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.040971167,,.032352943,.034038637,.036649216,.027571579,.033333335,.034038637,.027571579,.040857002,.041335452,.036649216,.033333335,.032352943,,
12086c,"Miami-Dade County, FL",1208616,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.016691957,,.0088235298,.052437901,.02617801,.081654295,.055555556,.052437901,.081654295,.017937221,.012718601,.02617801,.055555556,.0088235298,,
12086c,"Miami-Dade County, FL",1208617,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.036798179,,.0088235298,.040478382,.010471204,.043478262,.048148148,.040478382,.043478262,.040358745,.025437202,.010471204,.048148148,.0088235298,,
12086c,"Miami-Dade County, FL",1208618,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.040971167,,.041176472,.034958601,.02617801,.028632026,.044444446,.034958601,.028632026,.040857002,.041335452,.02617801,.044444446,.041176472,,
12086c,"Miami-Dade County, FL",1208619,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.034901366,,.014705882,.049678013,.041884817,.047720041,.033333335,.049678013,.047720041,.037867464,.025437202,.041884817,.033333335,.014705882,,
12086c,"Miami-Dade County, FL",1208620,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.023141123,,.020588236,.039558418,.023560209,.031813361,.04074074,.039558418,.031813361,.025411062,.015898252,.023560209,.04074074,.020588236,,
12086c,"Miami-Dade County, FL",1208621,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.025037937,,.019117648,.052437901,.05235602,.043478262,.044444446,.052437901,.043478262,.024414549,.027027028,.05235602,.044444446,.019117648,,
12086c,"Miami-Dade County, FL",1208622,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.047799695,,.05882353,.03771849,.031413611,.036055144,.029629629,.03771849,.036055144,.048330843,.046104927,.031413611,.029629629,.05882353,,
12086c,"Miami-Dade County, FL",1208623,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.036798179,,.030882353,.050597977,.047120418,.044538707,.022222223,.050597977,.044538707,.034877926,.04292528,.047120418,.022222223,.030882353,,
