FIPS_final,Name_final,stpuma,cbsa,metro_name,pct_supercluster1,pct_supercluster2,pct_supercluster3,pct_supercluster4,pct_supercluster5,pct_supercluster6,pct_supercluster7,pct_cluster1,pct_cluster2,pct_cluster3,pct_cluster4,pct_cluster5,pct_cluster6,pct_cluster7,pct_cluster8,pct_cluster9
13121c,"Fulton County, GA",1301001,12060,"Atlanta-Sandy Springs-Roswell, GA",.051580697,.050561797,,.10861423,.062827222,.2219917,.17525773,.051580697,.050561797,.17525773,.2219917,.10861423,.062827222,,,
13121c,"Fulton County, GA",1301002,12060,"Atlanta-Sandy Springs-Roswell, GA",.021630615,.12359551,,.10112359,.068062827,.21161826,.12371134,.021630615,.12359551,.12371134,.21161826,.10112359,.068062827,,,
13121c,"Fulton County, GA",1301003,12060,"Atlanta-Sandy Springs-Roswell, GA",.18136439,.17977528,,.1610487,.16753927,.070539422,.06185567,.18136439,.17977528,.06185567,.070539422,.1610487,.16753927,,,
13121c,"Fulton County, GA",1301004,12060,"Atlanta-Sandy Springs-Roswell, GA",.10981697,.078651689,,.086142324,.068062827,.045643155,.030927835,.10981697,.078651689,.030927835,.045643155,.086142324,.068062827,,,
13121c,"Fulton County, GA",1301005,12060,"Atlanta-Sandy Springs-Roswell, GA",.059900165,.050561797,,.15730338,.083769634,.16597511,.14432989,.059900165,.050561797,.14432989,.16597511,.15730338,.083769634,,,
13121c,"Fulton County, GA",1301006,12060,"Atlanta-Sandy Springs-Roswell, GA",.051580697,.050561797,,.067415729,.062827222,.13485478,.16494845,.051580697,.050561797,.16494845,.13485478,.067415729,.062827222,,,
13121c,"Fulton County, GA",1301007,12060,"Atlanta-Sandy Springs-Roswell, GA",.21297836,.20224719,,.16479401,.20942408,.11825726,.2371134,.21297836,.20224719,.2371134,.11825726,.16479401,.20942408,,,
13121c,"Fulton County, GA",1304600,12060,"Atlanta-Sandy Springs-Roswell, GA",.31114808,.26404494,,.15355805,.27748692,.031120332,.06185567,.31114808,.26404494,.06185567,.031120332,.15355805,.27748692,,,
13135c,"Gwinnett County, GA",1304001,12060,"Atlanta-Sandy Springs-Roswell, GA",.20428015,.23308271,,.16334662,.18471338,.30097088,.26771653,.23308271,.21671018,.16793893,.30097088,.26771653,.16334662,.18471338,,
13135c,"Gwinnett County, GA",1304002,12060,"Atlanta-Sandy Springs-Roswell, GA",.066147856,.067669176,,.1434263,.095541403,.09223301,.078740157,.067669176,.044386424,.12977099,.09223301,.078740157,.1434263,.095541403,,
13135c,"Gwinnett County, GA",1304003,12060,"Atlanta-Sandy Springs-Roswell, GA",.16536964,.21804512,,.21513945,.14012739,.16019417,.18897638,.21804512,.1618799,.17557251,.16019417,.18897638,.21513945,.14012739,,
13135c,"Gwinnett County, GA",1304004,12060,"Atlanta-Sandy Springs-Roswell, GA",.064202331,.12781955,,.087649405,.12101911,.087378643,.078740157,.12781955,.062663183,.068702288,.087378643,.078740157,.087649405,.12101911,,
13135c,"Gwinnett County, GA",1304005,12060,"Atlanta-Sandy Springs-Roswell, GA",.14007781,.12030075,,.16733068,.19745223,.11165048,.14173229,.12030075,.10704961,.23664123,.11165048,.14173229,.16733068,.19745223,,
13135c,"Gwinnett County, GA",1304006,12060,"Atlanta-Sandy Springs-Roswell, GA",.35992217,.23308271,,.22310758,.26114649,.24757281,.24409449,.23308271,.40731069,.22137405,.24757281,.24409449,.22310758,.26114649,,
15003c,"Honolulu County, HI",1500301,46520,"Urban Honolulu, HI",.20798668,,.27927929,.19526628,.18617021,.093833782,,.093833782,.32142857,.16249999,.19526628,.20244329,.27927929,.32142857,,
15003c,"Honolulu County, HI",1500302,46520,"Urban Honolulu, HI",.1264559,,.0990991,.12721893,.12234043,.13672923,,.13672923,.14285715,.125,.12721893,.12565444,.0990991,.10714286,,
15003c,"Honolulu County, HI",1500303,46520,"Urban Honolulu, HI",.063227952,,.027027028,.097633138,.079787232,.19034852,,.19034852,.035714287,.081249997,.097633138,.064572424,.027027028,.071428575,,
15003c,"Honolulu County, HI",1500304,46520,"Urban Honolulu, HI",.088186353,,.076576576,.12721893,.12765957,.14209116,,.14209116,.071428575,.125,.12721893,.089005239,.076576576,.14285715,,
15003c,"Honolulu County, HI",1500305,46520,"Urban Honolulu, HI",.16139767,,.15765765,.11538462,.095744684,.10723861,,.10723861,,.10625,.11538462,.16928446,.15765765,.035714287,,
15003c,"Honolulu County, HI",1500306,46520,"Urban Honolulu, HI",.10981697,,.11261261,.10059172,.20212767,.10723861,,.10723861,.071428575,.22499999,.10059172,.11169285,.11261261,.071428575,,
15003c,"Honolulu County, HI",1500307,46520,"Urban Honolulu, HI",.1281198,,.14414415,.11242604,.095744684,.14477211,,.14477211,.14285715,.1,.11242604,.12739965,.14414415,.071428575,,
15003c,"Honolulu County, HI",1500308,46520,"Urban Honolulu, HI",.11480865,,.1036036,.12426036,.090425529,.077747986,,.077747986,.21428572,.075000003,.12426036,.10994764,.1036036,.17857143,,
17031a,"Chicago, IL",1703501,16980,"Chicago-Naperville-Elgin, IL-IN-WI",.028793775,.037974682,,.035560343,.026530612,.090909094,.091269843,.091269843,.090909094,.026530612,.035560343,.028793775,.037974682,,,
17031a,"Chicago, IL",1703502,16980,"Chicago-Naperville-Elgin, IL-IN-WI",.0081712063,.0075949365,,.030172413,.020408163,.15360501,.11507937,.11507937,.15360501,.020408163,.030172413,.0081712063,.0075949365,,,
